S130VC	2025-02-18 17:37:36
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
7.536472E-04	22
7.486867E-04	311
7.477538E-04	611
7.482623E-04	911
7.502477E-04	1211
7.474701E-04	1511
7.472762E-04	1811
7.472169E-04	2111
7.467899E-04	2411
7.458306E-04	2711
7.469473E-04	3011
7.480441E-04	3311
7.483129E-04	3611
7.490456E-04	3911
7.485276E-04	4211
7.492993E-04	4511
7.503798E-04	4811
7.477567E-04	5111
7.466234E-04	5411
7.480984E-04	5711
7.469277E-04	6011
7.476897E-04	6311
7.476966E-04	6611
7.495435E-04	6913
7.457784E-04	7213
7.491021E-04	7513
7.455793E-04	7813
7.464518E-04	8113
7.478054E-04	8413
7.486393E-04	8713
7.486048E-04	9013
7.469397E-04	9313
7.458696E-04	9613
7.478363E-04	9913
7.482581E-04	10213
7.482672E-04	10513
7.499224E-04	10813
7.487586E-04	11113
7.481479E-04	11413
7.481811E-04	11713
7.473732E-04	12013
7.458585E-04	12313
7.477621E-04	12613
7.483714E-04	12913
7.481040E-04	13213
7.484142E-04	13513
7.475092E-04	13813
7.448989E-04	14113
7.461743E-04	14413
7.474992E-04	14716
7.456517E-04	15016
7.435378E-04	15316
7.488729E-04	15616
7.436965E-04	15916
7.449450E-04	16216
6.835979E-04	16516
2.472533E-09	17991
2.137259E-09	18291
2.701008E-09	18591
3.752571E-09	18891
3.267460E-09	19191
2.250145E-09	19491
1.969172E-09	19791
1.746327E-09	20091
1.909687E-09	20391
2.001614E-09	20691
1.839387E-09	20991
1.934471E-09	21291
1.094087E-05	21893
1.093372E-05	22193
1.093621E-05	22493
1.093414E-05	22793
1.087262E-05	23093
1.086388E-05	23393
1.085011E-05	23693
1.085739E-05	23995
1.086340E-05	24295
1.087265E-05	24595
1.088931E-05	24895
1.088944E-05	25195
1.087790E-05	25495
1.087657E-05	25795
1.084646E-05	26095
1.084727E-05	26395
2.626696E-05	26695
3.347435E-05	26995
3.352581E-05	27295
3.363028E-05	27595
3.354812E-05	27895
3.354588E-05	28195
3.353614E-05	28495
3.354792E-05	28795
3.361665E-05	29095
3.349080E-05	29395
3.349991E-05	29695
3.361746E-05	29995
3.355350E-05	30295
3.358376E-05	30595
3.354986E-05	30895
3.347085E-05	31195
6.124924E-05	31994
6.167140E-05	32294
5.914452E-05	32594
6.159486E-05	32894
6.035672E-05	33194
5.902891E-05	33508
5.990568E-05	33811
6.036285E-05	34111
6.014114E-05	34411
6.031696E-05	34711
6.099797E-05	35011
5.950342E-05	35311
6.097477E-05	35611
6.077273E-05	35911
5.928877E-05	36211
6.335446E-05	36511
8.748031E-05	36811
9.027932E-05	37111
8.942148E-05	37411
8.768676E-05	37711
9.010321E-05	38011
8.925153E-05	38311
8.780492E-05	38611
8.981180E-05	38911
8.784178E-05	39211
9.000951E-05	39511
8.766101E-05	39813
8.965192E-05	40113
8.796123E-05	40413
9.055110E-05	40713
8.850572E-05	41013
8.871469E-05	41313
1.003007E-04	41613
1.164040E-04	41913
1.185593E-04	42213
1.174775E-04	42513
1.167308E-04	42813
1.189918E-04	43113
1.162070E-04	43413
1.172634E-04	43713
1.166848E-04	44013
1.170934E-04	44313
1.184426E-04	44613
1.162032E-04	44913
1.179808E-04	45213
1.181553E-04	45513
1.165945E-04	45813
1.180470E-04	46113
1.164264E-04	46413
1.401022E-04	46713
1.482294E-04	47013
1.483971E-04	47315
1.462654E-04	47615
1.485073E-04	47915
1.472424E-04	48215
1.467792E-04	48515
1.476561E-04	48815
1.465936E-04	49115
1.482954E-04	49415
1.479902E-04	49715
1.466870E-04	50015
1.493250E-04	50315
1.469932E-04	50615
1.470400E-04	50915
1.480913E-04	51215
1.492639E-04	51515
1.786734E-04	51815
1.774472E-04	52115
1.769570E-04	52415
1.789803E-04	52715
1.766770E-04	53015
1.769455E-04	53315
1.775377E-04	53615
1.771122E-04	53915
1.787668E-04	54215
1.773804E-04	54515
1.771188E-04	54815
1.782341E-04	55118
1.779632E-04	55418
1.773070E-04	55718
1.771699E-04	56018
1.770793E-04	56318
1.912807E-04	56618
2.071768E-04	56918
2.071600E-04	57218
2.082811E-04	57518
2.073422E-04	57818
2.073494E-04	58118
2.064248E-04	58418
2.073239E-04	58718
2.085355E-04	59018
2.068987E-04	59318
2.074214E-04	59618
2.085660E-04	59918
2.071974E-04	60218
2.070307E-04	60518
2.075563E-04	60818
2.070170E-04	61118
2.084639E-04	61418
2.300870E-04	61718
2.370496E-04	62018
2.386086E-04	62318
2.373353E-04	62618
2.380069E-04	62920
2.369630E-04	63220
2.386149E-04	63520
2.397343E-04	63820
2.369009E-04	64120
2.396331E-04	64433
2.380795E-04	64733
2.383413E-04	65033
2.387371E-04	65333
2.367945E-04	65633
2.404785E-04	65933
2.384182E-04	66233
2.404172E-04	66533
2.676445E-04	66833
2.666721E-04	67133
2.673562E-04	67433
2.676668E-04	67733
2.654279E-04	68033
2.694430E-04	68333
2.669589E-04	68633
2.652865E-04	68933
2.673941E-04	69233
2.661823E-04	69533
2.667411E-04	69833
2.664661E-04	70133
2.665510E-04	70436
2.681303E-04	70736
2.667159E-04	71036
2.659663E-04	71336
2.805676E-04	71636
2.976009E-04	71936
2.971384E-04	72236
2.971591E-04	72536
2.954438E-04	72836
2.983671E-04	73136
2.965943E-04	73436
2.950649E-04	73736
2.973635E-04	74036
2.968312E-04	74336
2.968919E-04	74636
2.971484E-04	74936
2.952575E-04	75236
2.984517E-04	75536
2.961367E-04	75836
2.945694E-04	76136
2.971819E-04	76436
3.196424E-04	76736
3.271409E-04	77036
3.267434E-04	77336
3.250112E-04	77636
3.291599E-04	77936
3.259142E-04	78238
3.263741E-04	78538
3.260718E-04	78838
3.289605E-04	79138
3.279548E-04	79438
3.275513E-04	79738
3.269107E-04	80038
3.288676E-04	80338
3.290373E-04	80638
3.257499E-04	80938
3.274333E-04	81238
3.331286E-04	81538
3.586153E-04	81838
3.583821E-04	82138
3.573848E-04	82438
3.596072E-04	82738
3.588927E-04	83038
3.569750E-04	83338
3.593300E-04	83638
3.580864E-04	83938
3.598320E-04	84238
3.581452E-04	84538
3.569227E-04	84838
3.604378E-04	85138
3.585320E-04	85438
3.592808E-04	85740
