S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
2.581297E-06	42
2.574964E-06	338
2.573969E-06	638
2.575413E-06	938
2.575415E-06	1238
2.574678E-06	1538
2.575168E-06	1838
2.575831E-06	2138
2.574340E-06	2438
2.575323E-06	2738
2.574917E-06	3038
2.575061E-06	3338
2.574867E-06	3638
2.574870E-06	3938
2.576005E-06	4238
2.576287E-06	4538
2.576695E-06	4838
2.577411E-06	5138
2.578131E-06	5438
2.578136E-06	5738
2.578056E-06	6038
2.578507E-06	6338
2.577119E-06	6638
2.577909E-06	6940
2.577599E-06	7240
2.578257E-06	7540
2.578046E-06	7840
2.576741E-06	8140
2.579798E-06	8440
2.579488E-06	8740
2.577100E-06	9040
2.580422E-06	9340
2.577742E-06	9640
2.577560E-06	9940
2.577949E-06	10240
2.577218E-06	10540
2.577865E-06	10840
2.577757E-06	11140
2.577444E-06	11440
2.582452E-06	11740
2.579010E-06	12040
2.578462E-06	12340
2.579516E-06	12640
2.580008E-06	12940
2.580917E-06	13240
2.581922E-06	13540
2.578876E-06	13840
2.577714E-06	14140
2.578242E-06	14440
2.578488E-06	14741
2.577859E-06	15041
2.579113E-06	15341
2.579086E-06	15641
2.578608E-06	15941
2.578702E-06	16241
2.577473E-06	16541
2.577934E-06	16841
2.578091E-06	17141
2.577995E-06	17441
2.579093E-06	17741
2.579435E-06	18041
2.579470E-06	18341
2.579183E-06	18641
2.580043E-06	18941
2.579245E-06	19241
2.578739E-06	19541
2.579476E-06	19841
2.579002E-06	20141
2.580703E-06	20441
2.579464E-06	20741
2.579803E-06	21041
2.578894E-06	21341
2.580226E-06	21641
2.579393E-06	21941
2.579365E-06	22241
2.579740E-06	22542
2.579182E-06	22842
2.578825E-06	23142
2.579173E-06	23442
2.578668E-06	23742
2.578825E-06	24042
2.578913E-06	24342
2.579231E-06	24642
2.578665E-06	24942
2.577235E-06	25242
2.577442E-06	25542
2.578726E-06	25842
2.578368E-06	26142
2.578832E-06	26442
2.578153E-06	26742
2.578757E-06	27042
2.578553E-06	27342
2.579685E-06	27642
2.580406E-06	27942
2.580073E-06	28242
2.580472E-06	28542
2.581044E-06	28842
2.580478E-06	29142
2.580666E-06	29442
1.126513E-06	29742
2.843988E-09	30044
3.539175E-09	30344
2.726767E-09	30644
2.068512E-09	30944
1.997081E-09	31244
6.218990E-09	31550
3.321114E-09	31852
1.409579E-09	32152
6.098244E-10	32452
1.319351E-09	32752
1.885669E-09	33052
6.795487E-10	33352
2.337206E-09	33818
-9.716539E-10	34118
-6.040047E-10	34418
1.041997E-09	34719
2.114583E-09	35019
3.261417E-09	35319
-1.656375E-09	35618
1.048726E-09	35919
1.703099E-09	36219
1.585050E-09	36518
-1.284193E-10	36818
1.183670E-09	37119
1.052113E-09	37418
5.770848E-09	37719
1.582877E-10	38020
3.942739E-09	38320
-1.420268E-09	38620
-1.548412E-09	38920
2.347288E-09	39220
-4.546978E-09	39520
1.595121E-09	39820
1.520948E-09	40120
1.267979E-09	40420
9.993792E-09	40720
-4.169233E-09	41020
-2.735702E-09	41320
1.278091E-09	41620
-2.431114E-10	41920
4.499243E-09	42220
4.590324E-09	42520
-9.008213E-10	42820
-2.970574E-10	43120
3.730229E-09	43420
1.989751E-09	43720
9.171955E-10	44020
9.880184E-10	44320
4.317140E-09	44620
-4.825781E-10	44920
9.273244E-10	45220
-4.597572E-09	45521
-1.642868E-09	45821
2.074095E-09	46121
2.158417E-09	46421
2.846516E-09	46721
4.124853E-09	47021
1.220728E-09	47321
1.541196E-09	47621
4.566712E-09	47921
2.155043E-09	48221
-4.182704E-09	48521
3.598643E-09	48821
-3.524961E-09	49121
-1.821629E-09	49421
2.765586E-09	49721
9.217951E-09	50021
1.242227E-08	50321
1.691164E-08	50621
6.971617E-09	50921
1.325200E-08	51221
5.814690E-09	51521
1.049631E-08	51821
1.011516E-08	52121
5.089488E-09	52421
1.299229E-08	52721
1.490814E-08	53023
3.433420E-09	53323
1.344091E-08	53623
8.101544E-09	53923
1.001060E-08	54223
9.211265E-09	54523
9.771147E-09	54823
8.728890E-09	55123
7.912636E-09	55423
1.204116E-08	55723
8.462458E-09	56023
7.963251E-09	56323
9.416981E-09	56623
8.755890E-09	56923
8.907724E-09	57223
9.531677E-09	57523
9.312412E-09	57823
8.961686E-09	58123
8.631077E-09	58422
8.938015E-09	58723
9.929698E-09	59023
4.799419E-09	59323
1.598410E-08	59623
3.879526E-08	59923
3.932482E-08	60223
3.911231E-08	60523
3.405966E-08	60825
3.963849E-08	61125
3.473087E-08	61425
3.601937E-08	61725
3.781373E-08	62025
4.081565E-08	62332
3.724709E-08	62632
3.828935E-08	62932
3.902461E-08	63232
3.920341E-08	63532
3.719312E-08	63832
3.926748E-08	64132
3.479160E-08	64432
3.953727E-08	64732
3.862661E-08	65032
3.821512E-08	65332
3.861311E-08	65632
4.043788E-08	65932
4.037380E-08	66232
3.648817E-08	66532
3.606996E-08	66832
3.795542E-08	67132
3.927423E-08	67432
3.606990E-08	67732
3.085535E-08	68032
3.412376E-08	68333
3.985097E-08	68633
3.785424E-08	68933
3.620147E-08	69233
3.963854E-08	69533
7.239979E-08	69833
7.727029E-08	70133
7.847109E-08	70433
7.754019E-08	70733
7.972574E-08	71033
8.110201E-08	71333
7.604935E-08	71633
7.750306E-08	71933
8.025874E-08	72233
7.522633E-08	72533
7.697359E-08	72833
7.719949E-08	73133
7.585371E-08	73433
8.016772E-08	73733
7.691620E-08	74033
8.100418E-08	74333
7.836987E-08	74633
7.920978E-08	74933
7.612694E-08	75233
7.650813E-08	75533
7.629898E-08	75833
7.737485E-08	76134
7.854189E-08	76434
7.746260E-08	76734
7.864305E-08	77034
7.634952E-08	77334
7.440335E-08	77634
7.874103E-08	77934
7.871730E-08	78234
7.853184E-08	78534
7.816417E-08	78834
7.822828E-08	79134
8.153373E-08	79434
9.603735E-08	79734
1.232670E-07	80034
1.258304E-07	80334
1.259350E-07	80634
1.221371E-07	80934
1.255910E-07	81234
1.267076E-07	81534
1.233615E-07	81834
1.210982E-07	82134
1.240799E-07	82434
