S121C	2025-05-23 11:31:16
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
1.975324E-07	264
1.965643E-07	564
2.014583E-07	864
1.967523E-07	1282
1.963921E-07	1582
1.964249E-07	1882
1.965960E-07	2182
1.967838E-07	2482
1.967591E-07	2782
1.965178E-07	3082
1.967413E-07	3382
1.965142E-07	3682
1.962724E-07	3982
1.966136E-07	4282
1.966943E-07	4582
1.965619E-07	4882
1.965207E-07	5182
1.966146E-07	5482
1.964795E-07	5782
1.967894E-07	6082
1.963608E-07	6382
1.958889E-07	6682
1.962172E-07	6982
1.966566E-07	7283
1.963790E-07	7583
1.960534E-07	7883
1.963110E-07	8183
1.959765E-07	8483
1.960965E-07	8783
1.958420E-07	9083
1.955634E-07	9383
1.956094E-07	9683
1.961166E-07	9983
1.957277E-07	10283
1.961638E-07	10583
1.956230E-07	10883
1.955328E-07	11183
1.954044E-07	11483
1.958463E-07	11783
1.954766E-07	12083
1.950679E-07	12383
1.951530E-07	12683
1.956662E-07	12983
1.960154E-07	13283
1.963301E-07	13583
1.958576E-07	13883
1.958730E-07	14183
6.796753E-08	14483
6.993756E-10	14783
-9.093471E-10	15084
4.221985E-10	15384
2.284153E-10	15684
1.293005E-10	15984
-2.244594E-11	16284
2.950533E-11	16584
1.060555E-10	16884
3.599815E-11	17184
-1.581303E-10	17484
-1.355846E-11	17784
-2.999656E-10	18084
3.049739E-10	18384
-2.227210E-10	18684
-6.926888E-11	18984
-3.320936E-10	19284
-1.772669E-10	19584
-6.120023E-10	19884
-1.458278E-10	20184
3.394800E-11	20484
-4.206089E-10	20784
-3.748162E-11	21084
5.206928E-11	21384
1.679215E-10	21684
7.633897E-12	21984
-9.661309E-11	22284
-4.028402E-10	22585
1.084569E-10	22885
1.983377E-10	23185
5.957446E-11	23485
5.581954E-11	23785
-3.065106E-11	24085
1.409577E-09	24385
3.414412E-09	24685
3.189188E-09	24985
3.251382E-09	25285
3.199437E-09	25585
3.233612E-09	25885
3.475928E-09	26185
3.256852E-09	26485
3.442432E-09	26785
3.851536E-09	27085
4.445194E-09	27385
3.252073E-09	27685
3.538135E-09	27985
3.575386E-09	28285
4.008063E-09	28585
3.468412E-09	28885
3.508398E-09	29185
3.200807E-09	29485
3.596576E-09	29785
1.841577E-09	30087
3.576752E-09	30387
3.629041E-09	30687
3.787284E-09	30987
3.484816E-09	31287
9.799714E-10	31594
2.157712E-09	31895
3.744906E-09	32195
3.365193E-09	32495
4.123923E-09	32795
3.202513E-09	33095
3.515236E-09	33395
3.782158E-09	33695
3.623575E-09	33995
3.703205E-09	34295
6.768218E-09	34595
6.760353E-09	34895
5.970862E-09	35195
6.155418E-09	35495
6.356385E-09	35795
6.310930E-09	36095
6.618525E-09	36395
6.070317E-09	36695
6.609972E-09	36995
6.369372E-09	37295
6.277431E-09	37595
7.006433E-09	37896
6.526581E-09	38196
6.111680E-09	38496
6.051526E-09	38796
6.375528E-09	39096
6.544352E-09	39396
6.356379E-09	39696
6.349549E-09	39996
6.384750E-09	40296
6.286668E-09	40596
6.580928E-09	40896
6.492405E-09	41196
6.377569E-09	41496
6.155758E-09	41796
6.146871E-09	42096
6.569308E-09	42396
6.093555E-09	42696
6.728578E-09	42996
6.539911E-09	43296
5.817411E-09	43596
6.510859E-09	43896
6.343396E-09	44196
9.266230E-09	44496
1.112137E-08	44796
1.049936E-08	45096
1.105300E-08	45396
1.176321E-08	45698
1.107111E-08	45998
1.074985E-08	46298
1.087665E-08	46598
1.075362E-08	46898
1.087323E-08	47198
1.071363E-08	47498
1.107659E-08	47798
1.080592E-08	48098
1.031580E-08	48398
1.069176E-08	48698
1.050719E-08	48998
1.030692E-08	49298
1.089682E-08	49598
1.080147E-08	49898
1.111179E-08	50198
1.108719E-08	50498
1.096211E-08	50798
1.108206E-08	51098
1.093851E-08	51398
1.043543E-08	51698
1.088555E-08	51998
1.066202E-08	52298
1.046311E-08	52598
1.070817E-08	52898
1.057727E-08	53199
1.077515E-08	53499
1.098876E-08	53799
1.105199E-08	54099
1.209849E-08	54399
1.432273E-08	54699
1.482584E-08	54999
1.454694E-08	55299
1.457428E-08	55599
1.422260E-08	55899
1.416756E-08	56199
1.411972E-08	56499
1.437093E-08	56799
1.440407E-08	57099
1.432310E-08	57399
1.443519E-08	57699
1.404353E-08	57999
1.433061E-08	58299
1.424790E-08	58599
1.463751E-08	58899
1.441673E-08	59199
1.449397E-08	59499
1.463477E-08	59799
1.461085E-08	60099
1.443928E-08	60399
1.490821E-08	60699
1.380086E-08	61000
1.437365E-08	61300
1.446767E-08	61600
1.457941E-08	61900
1.469972E-08	62200
1.608321E-08	62506
1.252536E-08	62808
1.443005E-08	63108
1.422670E-08	63408
1.458523E-08	63708
1.452508E-08	64008
1.487061E-08	64308
1.851730E-08	64608
1.858770E-08	64908
1.826131E-08	65208
1.819091E-08	65508
1.840009E-08	65808
1.834197E-08	66108
1.851937E-08	66408
1.871348E-08	66708
1.829310E-08	67008
1.818784E-08	67308
1.817657E-08	67608
1.811640E-08	67908
1.797968E-08	68208
1.888439E-08	68509
1.851250E-08	68809
1.811844E-08	69109
1.839974E-08	69409
1.827396E-08	69709
1.827260E-08	70009
1.813522E-08	70309
1.827566E-08	70609
1.787680E-08	70909
1.821277E-08	71209
1.815435E-08	71509
1.823671E-08	71809
1.833786E-08	72109
1.822885E-08	72409
1.852175E-08	72709
1.854567E-08	73009
1.833481E-08	73309
1.827809E-08	73609
1.854021E-08	73909
1.866153E-08	74209
2.112126E-08	74509
2.272760E-08	74809
2.286804E-08	75109
2.245828E-08	75409
2.263976E-08	75709
2.316880E-08	76009
2.183283E-08	76310
2.260284E-08	76610
2.271289E-08	76910
2.300683E-08	77210
2.272489E-08	77510
2.285851E-08	77810
2.318659E-08	78110
2.250987E-08	78410
2.285986E-08	78710
2.245451E-08	79010
2.236838E-08	79310
2.210862E-08	79610
2.231096E-08	79910
2.214728E-08	80210
2.263397E-08	80510
2.232157E-08	80810
2.253860E-08	81110
2.224159E-08	81410
2.251160E-08	81710
2.264488E-08	82010
2.239744E-08	82310
2.250952E-08	82610
