S121C	2025-05-22 16:30:50
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
2.052292E-06	24
2.053455E-06	324
2.054170E-06	624
2.055210E-06	924
2.055534E-06	1224
2.055799E-06	1524
2.057429E-06	1824
2.057051E-06	2124
2.056494E-06	2424
2.056450E-06	2724
2.055988E-06	3024
2.055943E-06	3324
2.056705E-06	3624
2.056080E-06	3924
2.056088E-06	4224
2.055938E-06	4524
2.056077E-06	4824
2.055762E-06	5124
2.056618E-06	5424
2.056704E-06	5724
2.057761E-06	6024
2.058581E-06	6324
2.057820E-06	6624
2.059406E-06	6924
2.058889E-06	7224
2.060011E-06	7524
2.059627E-06	7824
2.059913E-06	8124
2.061067E-06	8424
2.061161E-06	8724
2.061045E-06	9024
2.061695E-06	9324
2.061891E-06	9624
2.061175E-06	9924
2.062206E-06	10224
2.062742E-06	10524
2.062943E-06	10824
2.062933E-06	11124
2.062978E-06	11424
2.063804E-06	11724
2.064013E-06	12024
2.063794E-06	12324
2.064120E-06	12624
2.064431E-06	12924
2.063733E-06	13224
2.064453E-06	13524
2.064841E-06	13824
2.064220E-06	14124
2.065051E-06	14424
2.065560E-06	14724
2.064824E-06	15024
2.065794E-06	15324
2.066419E-06	15624
2.066940E-06	15924
2.067007E-06	16224
2.066923E-06	16524
2.066497E-06	16824
2.066570E-06	17124
2.066567E-06	17424
2.067562E-06	17724
2.068109E-06	18024
2.068243E-06	18324
2.068390E-06	18624
2.068806E-06	18924
2.069536E-06	19224
2.069357E-06	19524
2.069714E-06	19824
2.069891E-06	20124
2.069708E-06	20424
2.070199E-06	20724
2.070357E-06	21024
2.069805E-06	21324
2.070124E-06	21624
2.070115E-06	21924
2.070692E-06	22224
2.070997E-06	22525
2.070973E-06	22825
2.070564E-06	23125
2.071730E-06	23425
2.072068E-06	23725
2.072149E-06	24025
2.071612E-06	24325
2.071474E-06	24625
2.072186E-06	24925
1.011489E-06	25225
8.129151E-09	25525
5.758624E-09	25825
4.388120E-09	26125
3.596573E-09	26425
2.914408E-09	26725
2.875094E-09	27025
2.552121E-09	27325
2.047328E-09	27625
1.825855E-09	27925
1.498781E-09	28225
1.985456E-09	28525
1.698714E-09	28825
1.714091E-09	29125
1.387360E-09	29425
1.378478E-09	29725
9.358793E-10	30027
7.417595E-10	30327
9.734763E-10	30627
1.137188E-09	30927
1.008678E-09	31227
2.930804E-09	31533
7.574762E-10	31835
8.254879E-10	32135
8.750496E-10	32435
6.347835E-10	32735
7.106528E-10	33035
5.493377E-10	33335
6.727192E-10	33635
3.596560E-10	33934
5.496779E-10	34235
8.008520E-11	34534
7.827694E-10	34835
1.880851E-10	35134
3.685453E-10	35435
2.632776E-10	35735
4.519323E-10	36034
3.241105E-10	36335
1.962900E-10	36634
2.516544E-10	36935
2.714758E-10	37235
3.183017E-10	37534
2.588340E-10	37836
1.245132E-10	38135
2.044900E-10	38435
1.798810E-10	38736
1.928690E-10	39035
7.803368E-11	39336
-8.601199E-11	39635
-4.056107E-11	39935
1.094757E-10	40236
1.890756E-11	40536
-4.978522E-11	40835
1.785170E-10	41136
-1.451410E-10	41435
1.692932E-10	41736
1.142635E-10	42036
-1.051537E-10	42335
4.727520E-11	42636
2.099590E-10	42936
-1.885495E-10	43235
-1.516395E-10	43535
9.922773E-11	43836
-1.646284E-10	44135
-4.334622E-12	44435
-2.668120E-10	44735
2.509715E-10	45036
6.645864E-09	45337
7.684165E-09	45637
7.573093E-09	45937
7.252507E-09	46237
7.255239E-09	46537
7.404935E-09	46837
6.967471E-09	47137
7.460653E-09	47437
7.498578E-09	47737
7.037190E-09	48037
6.851943E-09	48337
7.437064E-09	48637
7.084022E-09	48937
7.303778E-09	49237
7.295223E-09	49537
7.263785E-09	49837
6.886135E-09	50137
7.166037E-09	50437
7.392299E-09	50737
7.250112E-09	51037
7.109993E-09	51337
6.907318E-09	51637
7.179359E-09	51937
7.054282E-09	52237
7.320859E-09	52537
7.024897E-09	52837
6.904586E-09	53138
6.882368E-09	53438
7.136651E-09	53738
7.026601E-09	54038
7.214235E-09	54338
6.940134E-09	54638
7.452436E-09	54938
1.770355E-08	55238
2.708587E-08	55538
2.687227E-08	55838
2.706499E-08	56138
2.705374E-08	56438
2.674991E-08	56738
2.695462E-08	57038
2.639002E-08	57338
2.669658E-08	57638
2.709885E-08	57938
2.703390E-08	58238
2.667231E-08	58538
2.709510E-08	58838
2.707355E-08	59138
2.708756E-08	59438
2.673249E-08	59738
2.700728E-08	60038
2.707286E-08	60338
2.639308E-08	60641
2.713473E-08	60941
2.665354E-08	61241
2.668360E-08	61541
2.693448E-08	61841
2.602432E-08	62147
2.699972E-08	62447
2.690747E-08	62747
2.671196E-08	63047
2.657422E-08	63347
2.642216E-08	63647
2.632302E-08	63947
2.693483E-08	64247
2.683738E-08	64547
2.668907E-08	64847
3.309798E-08	65147
5.193401E-08	65447
5.225801E-08	65747
5.249115E-08	66047
5.198018E-08	66347
5.314596E-08	66647
5.307590E-08	66947
5.303932E-08	67247
5.238723E-08	67547
5.291460E-08	67847
5.311145E-08	68147
5.372522E-08	68449
5.284969E-08	68749
5.256598E-08	69049
5.271361E-08	69349
5.270096E-08	69649
5.244024E-08	69949
5.257661E-08	70249
5.208240E-08	70549
5.225359E-08	70849
5.187558E-08	71149
5.307628E-08	71449
5.272833E-08	71749
5.226281E-08	72049
5.244639E-08	72349
5.306393E-08	72649
5.296862E-08	72949
5.295905E-08	73249
5.265551E-08	73549
5.265418E-08	73849
5.235067E-08	74149
5.220577E-08	74449
5.179972E-08	74749
5.234585E-08	75049
8.007144E-08	75349
8.261317E-08	75649
8.403183E-08	75950
8.329635E-08	76250
8.347449E-08	76550
8.317745E-08	76850
8.343653E-08	77150
8.322156E-08	77450
8.325057E-08	77750
8.322091E-08	78050
8.380217E-08	78350
8.320406E-08	78650
8.279332E-08	78950
8.360673E-08	79250
8.310535E-08	79550
8.284427E-08	79850
8.303151E-08	80150
8.318914E-08	80450
8.294023E-08	80750
8.375231E-08	81050
8.383842E-08	81350
8.367127E-08	81650
8.340882E-08	81950
8.277555E-08	82250
