S130VC	2025-02-18 15:44:34
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
9.212598E-04	259
9.182592E-04	559
9.189163E-04	859
9.182810E-04	1159
9.188633E-04	1459
9.185252E-04	1759
9.182012E-04	2059
9.189846E-04	2359
9.182510E-04	2659
9.192282E-04	2959
9.181894E-04	3259
9.183561E-04	3559
9.189879E-04	3859
9.184083E-04	4159
9.184202E-04	4459
9.192799E-04	4759
9.181207E-04	5059
9.192501E-04	5359
9.186003E-04	5659
9.180956E-04	5959
9.193750E-04	6259
9.175696E-04	6559
9.196533E-04	6859
9.177885E-04	7161
9.200160E-04	7461
9.175832E-04	7761
9.189384E-04	8061
9.193649E-04	8361
9.179952E-04	8661
9.196596E-04	8961
9.179867E-04	9261
9.187543E-04	9561
9.189380E-04	9861
9.187884E-04	10161
9.188303E-04	10461
9.184342E-04	10761
9.194805E-04	11061
9.183827E-04	11361
9.187013E-04	11661
9.192761E-04	11961
9.184827E-04	12261
9.194463E-04	12561
9.188083E-04	12861
5.460444E-04	13161
2.313007E-09	14540
2.272226E-09	14840
1.420478E-05	15441
1.420003E-05	15741
1.420811E-05	16041
1.421849E-05	16343
1.420059E-05	16643
1.420954E-05	16943
3.335018E-05	17243
4.251792E-05	17543
4.253569E-05	17843
4.248201E-05	18143
4.253666E-05	18443
4.256188E-05	18743
7.746880E-05	19547
7.644849E-05	19847
7.573357E-05	20147
7.734622E-05	20447
7.589679E-05	20747
7.723693E-05	21047
1.120505E-04	21347
1.123332E-04	21647
1.133295E-04	21947
1.119857E-04	22247
1.124295E-04	22547
1.135383E-04	22847
1.238639E-04	23147
1.485424E-04	23447
1.466048E-04	23747
1.483482E-04	24047
1.465682E-04	24349
1.490395E-04	24649
1.461629E-04	24949
1.758279E-04	25249
1.858470E-04	25549
1.841749E-04	25849
1.862494E-04	26149
1.839993E-04	26449
1.869907E-04	26749
1.865470E-04	27049
2.225347E-04	27349
2.252750E-04	27649
2.229952E-04	27949
2.228096E-04	28249
2.235358E-04	28549
2.225072E-04	28849
2.389317E-04	29149
2.613374E-04	29449
2.605913E-04	29749
2.634370E-04	30049
2.606393E-04	30349
2.607917E-04	30649
2.614328E-04	30949
2.869582E-04	31249
3.003785E-04	31549
2.996085E-04	31849
2.988772E-04	32153
3.003092E-04	32455
2.997216E-04	32753
3.012717E-04	33054
3.359656E-04	33353
3.362679E-04	33668
3.363134E-04	33970
3.346014E-04	34270
3.368152E-04	34570
3.358915E-04	34870
3.525578E-04	35170
3.732282E-04	35470
3.734336E-04	35770
3.771414E-04	36070
3.729275E-04	36370
3.735773E-04	36670
3.750610E-04	36970
4.017255E-04	37270
4.138071E-04	37570
4.109513E-04	37870
4.123516E-04	38170
4.153142E-04	38470
4.108657E-04	38770
4.149941E-04	39070
4.520246E-04	39370
4.500645E-04	39670
4.509090E-04	39972
4.502859E-04	40272
4.497832E-04	40572
4.537778E-04	40872
4.672362E-04	41172
4.883712E-04	41472
4.905193E-04	41772
4.883492E-04	42072
4.907299E-04	42372
4.882882E-04	42672
4.885816E-04	42972
5.203960E-04	43272
5.256310E-04	43572
5.251080E-04	43872
5.276793E-04	44172
5.252491E-04	44472
5.270510E-04	44772
5.287142E-04	45072
5.650629E-04	45372
5.669564E-04	45672
5.648989E-04	45972
5.631798E-04	46272
5.670441E-04	46572
5.648610E-04	46872
5.812317E-04	47172
6.032168E-04	47475
6.048401E-04	47775
6.054266E-04	48075
6.042640E-04	48375
6.040273E-04	48675
6.038360E-04	48975
6.341270E-04	49275
6.445632E-04	49575
6.408617E-04	49875
6.441124E-04	50175
6.442320E-04	50475
6.441321E-04	50775
6.459860E-04	51075
6.827685E-04	51375
6.836068E-04	51675
6.831034E-04	51975
6.812688E-04	52275
6.838106E-04	52575
6.831611E-04	52875
7.002054E-04	53175
7.201979E-04	53475
7.227543E-04	53775
7.234663E-04	54075
7.224125E-04	54375
7.213011E-04	54675
7.232472E-04	54975
7.520069E-04	55277
7.589142E-04	55577
7.601124E-04	55877
7.621048E-04	56177
7.594948E-04	56477
7.627645E-04	56777
7.630771E-04	57077
7.997164E-04	57377
8.023009E-04	57677
7.995820E-04	57977
7.998514E-04	58277
8.025432E-04	58577
8.000436E-04	58877
8.194263E-04	59177
8.400445E-04	59477
8.394387E-04	59777
8.428514E-04	60077
8.393803E-04	60377
8.403063E-04	60677
8.428898E-04	60977
8.699249E-04	61277
8.837266E-04	61577
8.807941E-04	61877
8.791951E-04	62177
8.840400E-04	62477
8.795683E-04	62779
8.848671E-04	63079
9.224563E-04	63379
9.218213E-04	63679
9.217763E-04	63979
9.225867E-04	64279
9.283916E-04	64592
9.204840E-04	64892
9.418087E-04	65192
9.583425E-04	65492
9.613765E-04	65792
9.622878E-04	66092
9.591435E-04	66392
9.626324E-04	66692
9.604944E-04	66992
9.923971E-04	67292
1.002696E-03	67592
1.000334E-03	67892
1.002459E-03	68192
1.002219E-03	68492
1.000958E-03	68792
1.008115E-03	69092
1.042909E-03	69392
1.042298E-03	69692
1.043102E-03	69992
1.042062E-03	70292
1.041997E-03	70594
1.044408E-03	70894
1.060318E-03	71194
1.084740E-03	71494
1.084515E-03	71794
1.082178E-03	72094
1.084422E-03	72394
1.082231E-03	72694
1.084158E-03	72994
1.107280E-03	73294
1.110594E-03	73594
1.111761E-03	73894
1.111927E-03	74194
1.109701E-03	74494
1.110926E-03	74794
1.110115E-03	75094
1.110938E-03	75394
1.110934E-03	75694
1.108608E-03	75994
1.110308E-03	76294
1.110947E-03	76594
1.107591E-03	76894
1.110774E-03	77194
1.109316E-03	77494
1.108577E-03	77794
1.110380E-03	78094
1.108568E-03	78397
1.107716E-03	78697
1.110157E-03	78997
1.108250E-03	79297
1.107295E-03	79597
1.108556E-03	79897
1.108822E-03	80197
1.107404E-03	80497
1.107604E-03	80797
1.107417E-03	81097
1.109643E-03	81397
1.106715E-03	81697
1.106760E-03	81997
1.107837E-03	82297
1.107172E-03	82597
1.106749E-03	82897
1.105989E-03	83197
1.106949E-03	83497
1.109008E-03	83797
1.104949E-03	84097
1.106409E-03	84397
1.106812E-03	84697
1.105834E-03	84997
1.106379E-03	85297
1.104430E-03	85597
1.105701E-03	85899
