S130VC	2025-02-18 17:18:22
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
7.327179E-04	21
7.330491E-04	321
7.347551E-04	621
7.307528E-04	921
7.366997E-04	1221
7.339363E-04	1521
7.332788E-04	1821
7.374729E-04	2121
7.338210E-04	2421
7.353923E-04	2721
7.367895E-04	3021
7.326120E-04	3321
7.369186E-04	3621
7.353084E-04	3921
7.336700E-04	4221
7.372204E-04	4521
7.343529E-04	4821
7.360026E-04	5121
7.379644E-04	5421
7.361391E-04	5721
7.374756E-04	6021
7.359977E-04	6321
7.370627E-04	6621
7.370648E-04	6924
7.373163E-04	7224
7.389846E-04	7524
7.404940E-04	7824
7.374259E-04	8124
7.412099E-04	8424
7.401342E-04	8724
7.376093E-04	9024
7.430741E-04	9324
7.379852E-04	9624
7.401454E-04	9924
7.425108E-04	10224
7.386904E-04	10524
4.868244E-04	10824
3.319964E-09	12220
3.024790E-09	12520
2.014234E-09	12820
3.076617E-09	13120
-5.568889E-10	13419
-1.305797E-10	13720
1.895942E-09	14020
8.822306E-10	14320
3.734568E-10	14620
2.011079E-09	14920
2.320444E-09	15220
2.236628E-09	15520
1.070476E-05	16123
1.062641E-05	16424
1.061427E-05	16723
1.063229E-05	17024
1.063007E-05	17323
1.054663E-05	17624
1.048899E-05	17923
1.046723E-05	18224
1.050245E-05	18523
1.050557E-05	18824
1.047899E-05	19123
1.046782E-05	19424
1.039662E-05	19723
1.035791E-05	20024
1.035475E-05	20323
1.030401E-05	20624
2.511339E-05	20923
3.246537E-05	21224
3.245587E-05	21523
3.247903E-05	21824
3.252484E-05	22123
3.243006E-05	22424
3.251097E-05	22723
3.250029E-05	23025
3.252536E-05	23323
3.266091E-05	23624
3.250421E-05	23925
3.249417E-05	24225
3.245640E-05	24525
3.250203E-05	24825
3.252554E-05	25125
3.244870E-05	25425
5.978289E-05	26228
6.012848E-05	26528
5.766462E-05	26828
6.034000E-05	27128
5.890724E-05	27428
5.853886E-05	27728
5.961070E-05	28028
5.814066E-05	28328
5.990212E-05	28628
5.884927E-05	28928
5.862282E-05	29228
5.958969E-05	29528
5.879621E-05	29828
5.906395E-05	30128
5.915450E-05	30428
5.957953E-05	30728
8.801428E-05	31028
8.734358E-05	31328
8.709440E-05	31628
8.480523E-05	31932
8.847164E-05	32232
8.794579E-05	32532
8.640858E-05	32832
8.811356E-05	33132
8.527854E-05	33446
8.734343E-05	33749
8.640724E-05	34049
8.892419E-05	34349
8.763230E-05	34649
8.768602E-05	34949
8.887368E-05	35249
8.744746E-05	35549
9.925784E-05	35849
1.156859E-04	36149
1.148747E-04	36449
1.170606E-04	36749
1.150885E-04	37049
1.157229E-04	37349
1.171209E-04	37649
1.144412E-04	37949
1.162124E-04	38249
1.144645E-04	38549
1.155618E-04	38849
1.165718E-04	39149
1.145120E-04	39449
1.161232E-04	39751
1.169584E-04	40051
1.161406E-04	40351
1.144978E-04	40651
1.388656E-04	40951
1.440214E-04	41251
1.456046E-04	41551
1.451216E-04	41851
1.436410E-04	42151
1.460976E-04	42451
1.442693E-04	42751
1.440284E-04	43051
1.445179E-04	43351
1.431814E-04	43651
1.448003E-04	43951
1.443482E-04	44251
1.431733E-04	44551
1.454023E-04	44851
1.431390E-04	45151
1.429383E-04	45451
1.460187E-04	45751
1.719309E-04	46051
1.730487E-04	46351
1.719406E-04	46651
1.715180E-04	46951
1.718516E-04	47254
1.742440E-04	47554
1.717903E-04	47854
1.718395E-04	48154
1.720938E-04	48454
1.734492E-04	48754
1.724356E-04	49054
1.721241E-04	49354
1.728667E-04	49654
1.730451E-04	49954
1.714518E-04	50254
1.720933E-04	50554
1.846649E-04	50854
2.033040E-04	51154
2.016681E-04	51454
2.021141E-04	51754
2.022043E-04	52054
2.020863E-04	52354
2.017930E-04	52654
2.011169E-04	52954
2.020175E-04	53254
2.033025E-04	53554
2.009835E-04	53854
2.022116E-04	54154
2.030566E-04	54454
2.018492E-04	54754
2.019748E-04	55056
2.018816E-04	55356
2.018559E-04	55656
2.257281E-04	55956
2.307263E-04	56256
2.312325E-04	56556
2.322170E-04	56856
2.330790E-04	57156
2.322248E-04	57456
2.310829E-04	57756
2.320992E-04	58056
2.335361E-04	58356
2.304956E-04	58656
2.323172E-04	58956
2.318059E-04	59256
2.327242E-04	59556
2.312348E-04	59856
2.307403E-04	60156
2.319319E-04	60456
2.365454E-04	60756
2.580475E-04	61056
2.610996E-04	61356
2.595080E-04	61656
2.599446E-04	61956
2.596996E-04	62256
2.579447E-04	62556
2.593409E-04	62858
2.615122E-04	63158
2.591060E-04	63458
2.581618E-04	63758
2.596234E-04	64058
2.642720E-04	64371
2.595455E-04	64671
2.593172E-04	64971
2.584035E-04	65271
2.617477E-04	65571
2.725126E-04	65871
2.891952E-04	66171
2.906363E-04	66471
2.898311E-04	66771
2.901307E-04	67071
2.892279E-04	67371
2.895159E-04	67671
2.922723E-04	67971
2.889317E-04	68271
2.897474E-04	68571
2.908725E-04	68871
2.895327E-04	69171
2.914593E-04	69471
2.897870E-04	69771
2.907910E-04	70071
2.912748E-04	70374
2.913590E-04	70674
3.138907E-04	70974
3.211527E-04	71274
3.196633E-04	71574
3.199671E-04	71874
3.210525E-04	72174
3.189441E-04	72474
3.228718E-04	72774
3.189816E-04	73074
3.189030E-04	73374
3.207959E-04	73674
3.207920E-04	73974
3.215522E-04	74274
3.203058E-04	74574
3.201854E-04	74874
3.230612E-04	75174
3.208515E-04	75474
3.243696E-04	75774
3.519665E-04	76074
3.496981E-04	76374
3.518880E-04	76674
3.510106E-04	76974
3.505658E-04	77274
3.533045E-04	77574
3.497034E-04	77874
3.518183E-04	78176
3.499619E-04	78476
3.518469E-04	78776
3.508161E-04	79076
3.494850E-04	79376
3.486937E-04	79676
3.507019E-04	79976
3.498670E-04	80276
3.478436E-04	80576
3.637195E-04	80876
3.786693E-04	81176
3.789015E-04	81476
3.783812E-04	81776
3.795115E-04	82076
3.818071E-04	82376
3.803244E-04	82676
3.791174E-04	82976
3.813601E-04	83276
3.794894E-04	83576
3.817038E-04	83876
3.789130E-04	84176
3.797988E-04	84476
3.817498E-04	84776
3.786471E-04	85076
3.798682E-04	85376
3.791250E-04	85678
