S130VC	2025-03-26 16:09:54
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
7.108729E-07	82
7.152481E-07	382
7.117468E-07	682
7.135856E-07	982
7.137962E-07	1282
7.127885E-07	1582
7.112355E-07	1882
7.158560E-07	2182
7.113771E-07	2482
7.092710E-07	2782
7.183478E-07	3082
7.214071E-07	3382
7.158156E-07	3682
7.136190E-07	3982
7.156977E-07	4282
7.127242E-07	4582
7.092613E-07	4882
7.102747E-07	5182
7.099733E-07	5482
7.099880E-07	5782
7.099472E-07	6082
7.109071E-07	6382
7.106020E-07	6682
7.094953E-07	6982
7.095256E-07	7282
7.083208E-07	7582
7.073830E-07	7882
7.083852E-07	8182
7.100894E-07	8482
7.089968E-07	8782
7.083597E-07	9082
7.075577E-07	9382
7.145787E-07	9682
7.115341E-07	9982
7.078265E-07	10282
7.079482E-07	10582
7.062022E-07	10882
7.044428E-07	11182
7.045565E-07	11482
7.062911E-07	11782
1.089780E-07	12082
3.069305E-10	12525
2.969738E-10	12823
2.925805E-10	13125
2.879409E-10	13424
2.842801E-10	13725
2.843443E-10	14023
2.836121E-10	14325
2.828984E-10	14623
2.794938E-10	14926
2.845093E-10	15226
2.794664E-10	15526
2.810040E-10	15826
2.851591E-10	16126
2.838137E-10	16426
2.809308E-10	16726
2.847838E-10	17026
2.869341E-10	17326
2.907963E-10	17626
2.890573E-10	17926
2.905674E-10	18226
2.930199E-10	18526
2.961227E-10	18826
2.963241E-10	19126
2.994993E-10	19426
3.028308E-10	19726
3.026202E-10	20026
3.048529E-10	20326
3.054387E-10	20626
3.103622E-10	20926
3.061985E-10	21226
3.083581E-10	21526
3.086691E-10	21826
3.089621E-10	22126
3.119273E-10	22426
3.136297E-10	22728
3.111217E-10	23028
3.128790E-10	23328
3.117623E-10	23628
3.119089E-10	23928
3.120732E-10	24228
3.123025E-10	24528
3.103803E-10	24828
3.110577E-10	25128
3.104174E-10	25428
3.141781E-10	25728
3.104628E-10	26028
3.138030E-10	26328
3.098589E-10	26628
3.135197E-10	26928
3.111493E-10	27228
3.120644E-10	27528
3.106184E-10	27828
3.120370E-10	28128
3.124854E-10	28428
3.132175E-10	28728
3.122933E-10	29028
3.152947E-10	29328
3.118723E-10	29628
3.148191E-10	29928
3.148005E-10	30233
3.165027E-10	30533
3.153680E-10	30833
3.163198E-10	31133
3.177563E-10	31433
3.138582E-10	31749
3.191475E-10	32051
3.158898E-10	32352
3.141873E-10	32651
3.182324E-10	32951
3.154231E-10	33251
3.137665E-10	33552
3.126959E-10	33852
3.130618E-10	34151
3.136200E-10	34451
3.096755E-10	34751
3.119271E-10	35051
3.083306E-10	35351
3.110486E-10	35652
3.106184E-10	35952
3.121285E-10	36252
3.093188E-10	36552
3.101151E-10	36851
3.116618E-10	37151
3.097948E-10	37451
3.093645E-10	37752
3.102979E-10	38054
3.081016E-10	38354
3.091818E-10	38654
3.085868E-10	38954
3.095478E-10	39254
3.096117E-10	39554
3.091633E-10	39854
3.115884E-10	40154
3.066833E-10	40454
3.095111E-10	40754
3.120185E-10	41054
3.099321E-10	41354
3.099687E-10	41654
4.515841E-10	41954
7.512696E-10	42254
7.845755E-10	42554
8.037285E-10	42854
8.205948E-10	43154
8.281084E-10	43454
8.351462E-10	43754
8.473094E-10	44054
8.542560E-10	44354
8.585927E-10	44654
8.621349E-10	44954
8.680194E-10	45254
8.807400E-10	45556
8.771257E-10	45856
8.854363E-10	46156
8.900944E-10	46456
9.007757E-10	46756
8.922738E-10	47056
9.041146E-10	47356
9.016624E-10	47656
9.049848E-10	47956
9.047281E-10	48256
9.087451E-10	48556
9.098435E-10	48856
9.120301E-10	49156
9.125422E-10	49456
9.122226E-10	49756
9.155724E-10	50056
9.137512E-10	50356
9.112799E-10	50656
9.164594E-10	50956
9.131472E-10	51256
9.108227E-10	51556
1.292947E-09	51856
5.278581E-09	52156
5.310529E-09	52456
5.351874E-09	52756
5.349898E-09	53056
5.346381E-09	53359
5.359838E-09	53659
5.372326E-09	53959
5.377593E-09	54259
5.349052E-09	54559
5.350588E-09	54859
5.324162E-09	55159
5.331455E-09	55459
5.330283E-09	55759
5.306437E-09	56059
5.307489E-09	56359
5.340084E-09	56659
5.351628E-09	56959
5.346270E-09	57259
5.358301E-09	57559
5.360876E-09	57859
5.370060E-09	58159
5.370498E-09	58459
5.369138E-09	58759
5.361229E-09	59059
5.352555E-09	59359
5.343918E-09	59659
5.349974E-09	59959
5.354164E-09	60259
5.353127E-09	60559
5.321489E-09	60859
5.318422E-09	61161
5.308432E-09	61461
5.280445E-09	61761
1.103882E-08	62061
1.287314E-08	62361
1.277269E-08	62673
1.274718E-08	62973
1.275410E-08	63273
1.276871E-08	63574
1.278070E-08	63873
1.278431E-08	64173
1.277480E-08	64473
1.276498E-08	64773
1.274370E-08	65073
1.273847E-08	65373
1.272587E-08	65673
1.270092E-08	65974
1.268325E-08	66273
1.253501E-08	66574
1.260852E-08	66873
1.260148E-08	67173
1.263739E-08	67473
1.262433E-08	67773
1.261882E-08	68073
1.264361E-08	68374
1.265620E-08	68676
1.266645E-08	68976
1.266547E-08	69276
1.271429E-08	69576
1.274426E-08	69876
1.268315E-08	70176
1.267112E-08	70476
1.267308E-08	70776
1.266488E-08	71076
1.268686E-08	71376
1.268158E-08	71676
1.746052E-08	71976
2.311984E-08	72276
2.318056E-08	72576
2.326326E-08	72876
2.329445E-08	73176
2.323515E-08	73476
2.323147E-08	73776
2.319357E-08	74076
2.318715E-08	74376
2.316957E-08	74676
2.317661E-08	74976
2.309913E-08	75276
2.312356E-08	75576
2.312173E-08	75876
2.311779E-08	76176
2.312303E-08	76478
2.314057E-08	76778
2.308575E-08	77078
2.301338E-08	77378
2.312010E-08	77678
2.307591E-08	77978
2.307257E-08	78278
2.305175E-08	78578
2.307749E-08	78878
2.308577E-08	79178
2.310454E-08	79478
2.308396E-08	79778
2.307634E-08	80078
2.307410E-08	80378
2.311139E-08	80678
2.308089E-08	80978
2.308747E-08	81278
2.319363E-08	81578
2.466161E-08	81878
3.349855E-08	82178
3.355885E-08	82478
3.323951E-08	82778
3.324496E-08	83078
3.356002E-08	83378
3.354957E-08	83678
3.355535E-08	83981
