S130VC	2025-02-24 16:33:11
value unit [W]	time unit [ms]
wavelength	524.000nm
range	AUTO
5.877871E-06	187
5.878000E-06	487
5.877942E-06	787
5.878080E-06	1087
5.877961E-06	1387
5.877971E-06	1687
5.878090E-06	1987
5.877872E-06	2287
5.877808E-06	2587
5.878027E-06	2887
5.877979E-06	3187
5.878022E-06	3487
5.877934E-06	3787
5.877882E-06	4087
5.877713E-06	4387
5.877692E-06	4687
5.877574E-06	4987
5.877440E-06	5287
5.877519E-06	5587
5.877654E-06	5887
5.877478E-06	6187
5.877576E-06	6487
5.877522E-06	6787
5.877583E-06	7089
5.877541E-06	7389
5.877387E-06	7689
5.877272E-06	7989
5.877161E-06	8289
5.877074E-06	8589
5.877142E-06	8889
5.877208E-06	9189
5.877275E-06	9489
5.877201E-06	9789
5.877298E-06	10089
5.877255E-06	10389
5.877093E-06	10689
5.877052E-06	10989
5.877106E-06	11289
1.164632E-06	11590
1.113533E-10	12451
1.079604E-10	12751
1.056431E-10	13051
1.042399E-10	13351
1.028920E-10	13651
1.020011E-10	13951
1.009209E-10	14251
9.969772E-11	14551
1.004500E-10	14851
9.979007E-11	15151
9.841909E-11	15454
9.890853E-11	15754
9.806823E-11	16054
9.719114E-11	16354
9.773598E-11	16654
9.776362E-11	16954
9.717281E-11	17254
9.744983E-11	17554
9.666046E-11	17854
9.586193E-11	18154
9.628658E-11	18454
9.623104E-11	18754
9.610643E-11	19054
9.680360E-11	19354
9.612491E-11	19654
9.572344E-11	19954
9.605569E-11	20254
9.548796E-11	20554
9.634184E-11	20854
9.561719E-11	21154
5.758620E-08	21454
1.666700E-07	21754
1.667549E-07	22054
1.667700E-07	22354
1.667736E-07	22654
1.667748E-07	22956
1.667729E-07	23256
1.667670E-07	23556
1.667625E-07	23856
1.667526E-07	24156
1.667517E-07	24456
1.667543E-07	24756
1.667474E-07	25056
1.667413E-07	25356
1.667394E-07	25656
1.667322E-07	25956
1.667280E-07	26256
1.667231E-07	26556
1.667220E-07	26856
1.667188E-07	27156
1.667156E-07	27456
1.667075E-07	27756
1.666995E-07	28056
1.666930E-07	28356
1.666912E-07	28656
1.666842E-07	28956
1.666817E-07	29256
1.666797E-07	29556
1.666742E-07	29856
1.666693E-07	30156
1.666655E-07	30456
1.666623E-07	30761
1.666538E-07	31061
3.662971E-07	31743
3.655641E-07	32043
3.654468E-07	32343
3.653950E-07	32659
3.653696E-07	32962
3.653469E-07	33262
3.653245E-07	33562
3.653245E-07	33862
3.653051E-07	34162
3.652949E-07	34462
3.652816E-07	34762
3.652686E-07	35062
3.652667E-07	35362
3.652615E-07	35662
3.652530E-07	35962
3.652538E-07	36262
3.652469E-07	36562
