S130VC	2025-03-26 15:08:13
value unit [W]	time unit [ms]
wavelength	524.000nm
range	AUTO
3.230593E-06	27
3.229552E-06	327
3.228506E-06	627
3.232346E-06	927
3.232399E-06	1227
3.231977E-06	1527
3.232113E-06	1827
3.231017E-06	2127
3.232836E-06	2427
3.232584E-06	2727
3.231733E-06	3027
3.230729E-06	3327
3.231639E-06	3627
3.231811E-06	3927
3.230393E-06	4227
3.230840E-06	4527
3.229779E-06	4827
3.227168E-06	5127
3.225634E-06	5427
3.222582E-06	5727
3.229176E-06	6027
3.227889E-06	6327
3.227045E-06	6627
3.230721E-06	6929
3.230887E-06	7229
3.230047E-06	7529
3.229997E-06	7829
3.230153E-06	8129
3.229378E-06	8429
3.228688E-06	8729
3.227870E-06	9029
3.226547E-06	9329
3.226666E-06	9629
3.222018E-06	9929
3.226907E-06	10229
3.223686E-06	10529
3.221583E-06	10829
3.225643E-06	11129
3.223898E-06	11429
3.225100E-06	11729
1.059170E-06	12029
1.727887E-10	12921
1.706513E-10	13221
1.693726E-10	13521
1.678492E-10	13822
1.665152E-10	14122
1.663677E-10	14422
1.649734E-10	14722
1.655504E-10	15022
1.653936E-10	15324
1.655042E-10	15624
1.642534E-10	15924
1.636488E-10	16224
1.628319E-10	16524
1.639811E-10	16824
1.632518E-10	17124
1.641750E-10	17424
1.633302E-10	17724
1.628777E-10	18024
1.620793E-10	18324
1.632426E-10	18624
1.634365E-10	18924
1.626147E-10	19224
1.618900E-10	19524
1.624025E-10	19824
1.631548E-10	20124
1.616177E-10	20424
1.612760E-10	20724
1.625916E-10	21024
1.606484E-10	21324
1.615854E-10	21624
1.617100E-10	21924
1.617285E-10	22224
1.626656E-10	22524
1.627438E-10	22824
1.608698E-10	23126
1.616638E-10	23426
1.610637E-10	23726
1.610914E-10	24026
1.612438E-10	24326
1.616361E-10	24626
1.622778E-10	24926
1.616176E-10	25226
1.604221E-10	25526
1.618577E-10	25826
1.603669E-10	26126
1.619225E-10	26426
1.618808E-10	26726
1.621437E-10	27026
1.603021E-10	27326
1.611238E-10	27626
1.598590E-10	27926
1.607729E-10	28226
1.605467E-10	28526
1.608144E-10	28826
1.609345E-10	29126
1.602558E-10	29426
1.605836E-10	29726
1.592265E-10	30026
1.602236E-10	30326
1.600344E-10	30630
1.598590E-10	30931
1.594991E-10	31231
1.602282E-10	31530
1.604082E-10	31830
2.195148E-09	32145
2.578939E-09	32448
2.705674E-09	32748
2.750606E-09	33048
2.765955E-09	33348
2.736154E-09	33648
2.708608E-09	33948
2.751109E-09	34248
2.742957E-09	34548
2.741861E-09	34848
2.719886E-09	35148
2.799689E-09	35448
2.853010E-09	35748
2.675622E-09	36048
