S130VC	2025-03-26 15:49:25
value unit [W]	time unit [ms]
wavelength	385.000nm
range	AUTO
9.270178E-06	19
9.319569E-06	319
9.324585E-06	619
9.323499E-06	920
9.316524E-06	1219
9.314251E-06	1519
9.334200E-06	1819
9.331197E-06	2120
9.328938E-06	2420
9.337316E-06	2719
9.335669E-06	3019
9.320537E-06	3319
9.302348E-06	3619
9.306339E-06	3919
9.297195E-06	4219
9.304051E-06	4519
9.309207E-06	4820
9.326982E-06	5119
9.326332E-06	5419
9.325591E-06	5720
9.328245E-06	6019
9.324062E-06	6319
9.300612E-06	6619
9.329159E-06	6919
9.327577E-06	7220
9.327461E-06	7519
9.309025E-06	7819
9.314072E-06	8119
9.309231E-06	8419
9.310187E-06	8719
9.316761E-06	9019
9.327288E-06	9320
9.320293E-06	9619
9.325719E-06	9920
9.323274E-06	10219
9.327176E-06	10520
9.325009E-06	10819
9.329839E-06	11119
9.307725E-06	11420
9.292397E-06	11719
2.682880E-06	12019
2.766932E-10	12905
2.688132E-10	13206
2.641553E-10	13506
2.585722E-10	13805
2.591671E-10	14106
2.549847E-10	14405
2.553691E-10	14706
2.511958E-10	15005
2.523675E-10	15308
2.509122E-10	15608
2.516809E-10	15908
2.499512E-10	16208
2.491460E-10	16508
2.473980E-10	16808
2.491004E-10	17108
2.489536E-10	17408
2.462725E-10	17708
2.467482E-10	18008
2.475720E-10	18308
2.460252E-10	18608
2.470687E-10	18908
2.464280E-10	19208
2.461716E-10	19508
2.465557E-10	19808
2.442316E-10	20108
2.447988E-10	20408
2.414220E-10	20708
2.445062E-10	21008
2.420446E-10	21308
2.436730E-10	21608
2.418339E-10	21908
2.436731E-10	22208
2.432982E-10	22508
2.450190E-10	22808
2.432615E-10	23108
2.434080E-10	23408
2.434627E-10	23708
2.432708E-10	24008
2.441124E-10	24308
2.422547E-10	24608
2.427214E-10	24908
2.420720E-10	25208
2.426023E-10	25508
2.425017E-10	25808
2.438379E-10	26108
2.420535E-10	26408
2.433438E-10	26708
2.398299E-10	27008
2.432337E-10	27308
2.428680E-10	27608
2.418977E-10	27908
2.451378E-10	28208
2.401866E-10	28508
2.442863E-10	28808
2.436183E-10	29108
2.411842E-10	29408
2.439109E-10	29708
2.448627E-10	30008
2.407265E-10	30308
2.430966E-10	30612
2.425476E-10	30912
2.423556E-10	31213
2.416872E-10	31512
2.422458E-10	31813
2.403053E-10	32128
2.417332E-10	32430
2.403333E-10	32730
2.416048E-10	33030
2.414035E-10	33330
2.431425E-10	33630
2.417697E-10	33930
2.410652E-10	34230
2.426211E-10	34530
2.401682E-10	34830
2.394819E-10	35130
2.440211E-10	35430
2.420441E-10	35730
2.411109E-10	36030
2.439847E-10	36330
2.411566E-10	36630
2.428862E-10	36930
2.420628E-10	37231
2.430875E-10	37530
2.420625E-10	37830
2.420991E-10	38130
2.399942E-10	38432
2.431698E-10	38733
2.400492E-10	39032
2.434812E-10	39333
2.411200E-10	39633
2.425477E-10	39932
2.420716E-10	40232
2.410560E-10	40532
2.419068E-10	40832
2.434171E-10	41133
2.410191E-10	41432
2.413669E-10	41732
1.844195E-08	42032
2.570023E-08	42332
2.577504E-08	42632
2.567385E-08	42932
2.554068E-08	43232
2.478598E-08	43532
2.552671E-08	43832
2.565929E-08	44132
2.583617E-08	44432
2.595919E-08	44732
2.599483E-08	45032
2.606294E-08	45332
2.604633E-08	45632
2.640176E-08	45935
2.649297E-08	46235
2.637525E-08	46535
2.632179E-08	46835
2.631738E-08	47135
2.609627E-08	47435
1.295039E-08	47735
9.859407E-09	48035
1.364445E-08	48335
9.057803E-09	48635
9.062280E-09	48935
1.235987E-08	49235
2.533119E-08	49535
2.550673E-08	49835
2.551507E-08	50135
2.527879E-08	50435
2.530584E-08	50735
1.621098E-08	51035
1.462235E-08	51335
8.393525E-09	51635
3.988616E-08	51935
8.287034E-08	52235
1.049954E-07	52535
7.737029E-08	52835
1.098744E-07	53135
8.629791E-08	53435
1.074739E-07	53737
7.451938E-08	54037
1.075087E-07	54337
8.913609E-08	54637
7.695349E-08	54937
9.692194E-08	55237
8.505842E-08	55537
8.821365E-08	55837
1.072655E-07	56137
9.590311E-08	56437
7.416043E-08	56737
1.020264E-07	57037
9.056102E-08	57337
9.943931E-08	57637
8.171104E-08	57937
7.898144E-08	58237
1.189084E-07	58537
1.278204E-07	58837
1.278513E-07	59137
1.273539E-07	59437
1.276019E-07	59737
1.273623E-07	60037
1.274169E-07	60337
1.274613E-07	60637
1.254056E-07	60937
7.145923E-08	61237
8.781500E-08	61539
1.313791E-07	61840
2.187919E-07	62139
2.338651E-07	62439
2.137222E-07	62739
2.069149E-07	63052
2.022177E-07	63352
2.190649E-07	63652
2.343689E-07	63952
2.178706E-07	64252
2.028841E-07	64552
2.114061E-07	64852
2.030647E-07	65152
2.166891E-07	65452
1.920470E-07	65752
1.840880E-07	66052
1.895925E-07	66352
2.047451E-07	66652
1.882086E-07	66952
1.866131E-07	67252
1.862399E-07	67552
1.936086E-07	67852
1.789458E-07	68152
1.657247E-07	68452
1.628849E-07	68752
1.610035E-07	69055
1.613744E-07	69355
1.607506E-07	69655
1.612664E-07	69955
1.455095E-07	70255
1.404468E-07	70555
1.432540E-07	70855
1.365950E-07	71155
1.370534E-07	71455
1.387793E-07	71755
2.353414E-07	72055
2.670460E-07	72355
2.614278E-07	72655
2.608780E-07	72955
2.603564E-07	73255
2.603066E-07	73555
2.588191E-07	73855
2.588338E-07	74155
2.627104E-07	74455
2.620053E-07	74755
2.602852E-07	75055
2.592194E-07	75355
2.577961E-07	75655
2.555941E-07	75955
2.538277E-07	76255
2.538004E-07	76555
2.530011E-07	76858
2.529568E-07	77157
2.536772E-07	77457
2.540049E-07	77757
2.578313E-07	78057
2.603305E-07	78357
2.595159E-07	78658
2.592164E-07	78957
2.583941E-07	79257
2.579581E-07	79558
2.580341E-07	79857
2.645259E-07	80158
2.628593E-07	80457
2.610203E-07	80757
2.618654E-07	81057
2.614948E-07	81358
2.610454E-07	81657
3.849092E-07	82235
3.931776E-07	82535
3.902996E-07	82835
3.947025E-07	83135
3.929642E-07	83435
3.883509E-07	83735
3.881644E-07	84035
3.863179E-07	84335
3.841524E-07	84638
