OriginalPayload,OriginalPayload,OriginalPayload,OriginalPayload.TargetSide,OriginalPayload.Intensity,OriginalPayload.FreqA,OriginalPayload.FreqB,OriginalPayload.Duration,OriginalPayload.EnvFrequency,OriginalPayload.PhaseA,OriginalPayload.PhaseB,OriginalPayload.ContrastA,OriginalPayload.ContrastB,DiscriminationResponse,DetectionResponse,IsCorrect
Standing,Staircase,se,-1,10,10,200,1000,4,0,0,1,1,-1,0,True
Standing,Staircase,se,-1,10,10,200,1000,4,0,0,1,1,-1,1,True
Walking,MOCS,se,-1,40,40,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,10,10,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,10,10,200,1000,4,0,0,1,1,-1,1,True
Walking,MOCS,se,1,30,200,30,1000,4,0,0,1,1,1,1,True
Walking,MOCS,se,-1,40,40,200,1000,4,0,0,1,1,-1,1,True
Walking,MOCS,se,1,50,200,50,1000,4,0,0,1,1,1,1,True
Standing,MOCS,se,-1,40,40,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,11,11,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,11,11,200,1000,4,0,0,1,1,-1,1,True
Walking,MOCS,se,1,60,200,60,1000,4,0,0,1,1,1,1,True
Walking,Staircase,se,1,12,200,12,1000,4,0,0,1,1,1,1,True
Standing,Staircase,se,1,11,200,11,1000,4,0,0,1,1,-1,1,False
Standing,MOCS,se,1,30,200,30,1000,4,0,0,1,1,-1,1,False
Walking,Staircase,se,-1,12,12,200,1000,4,0,0,1,1,1,0,False
Standing,MOCS,se,-1,40,40,200,1000,4,0,0,1,1,-1,1,True
Standing,Staircase,se,-1,10,10,200,1000,4,0,0,1,1,-1,1,True
Standing,MOCS,se,-1,50,50,200,1000,4,0,0,1,1,1,0,False
Walking,Staircase,se,-1,11,11,200,1000,4,0,0,1,1,-1,0,True
Standing,MOCS,se,-1,60,60,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,11,11,200,1000,4,0,0,1,1,-1,1,True
Walking,Staircase,se,-1,12,12,200,1000,4,0,0,1,1,1,1,False
