section id,recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432534627983,4.6779,4.6522,-31.6875,10.0312,-36.625,31.25,12.3125,-38.75,0.2413,0.3283,0.9132,0.1302,0.3264,0.9362,-0.0864,-0.9976,10.3892,-0.1375,-0.8921,8.5543
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432539627983,4.7624,4.733,-31.625,9.8438,-37.0,31.3125,12.375,-38.375,0.2221,0.3329,0.9164,0.1044,0.331,0.9378,-0.0757,-0.9961,10.4878,-0.1342,-0.8862,8.5201
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432544627983,4.7918,4.6816,-31.7188,10.3125,-37.25,31.2344,12.8125,-38.625,0.2162,0.2921,0.9316,0.0993,0.2911,0.9515,-0.0065,-0.936,10.5116,-0.1003,-0.8447,8.3943
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432549627983,4.8249,4.575,-31.7188,10.125,-37.0625,31.25,12.6562,-38.4375,0.1963,0.3042,0.9322,0.0637,0.3042,0.9505,-0.0492,-0.9575,10.3074,-0.1098,-0.8784,8.6926
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432554627983,4.7587,4.6301,-31.5312,9.9375,-37.0625,31.4844,12.3438,-38.375,0.145,0.3237,0.935,0.0116,0.3181,0.948,-0.0911,-0.9424,9.6661,-0.1246,-0.9082,8.8885
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432559627983,4.711,4.564,-31.4375,10.1562,-36.9375,31.5625,12.6562,-38.75,0.1062,0.307,0.9458,-0.0126,0.2986,0.9543,-0.0803,-0.9058,9.3428,-0.0778,-0.8706,8.9489
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432564627983,4.6742,4.5713,-31.6875,9.8125,-37.1562,31.3438,12.375,-38.5625,0.0835,0.3246,0.9422,-0.0227,0.3162,0.9484,-0.0975,-0.9282,9.4256,-0.0947,-0.8896,8.9922
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432569627983,4.5787,4.7183,-31.8125,9.9375,-37.375,31.1875,12.5,-38.7812,0.0774,0.3098,0.9477,-0.0247,0.3005,0.9535,-0.0656,-0.9009,9.4446,-0.0784,-0.8721,8.9598
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432574641983,4.5934,4.6264,-31.875,9.8438,-37.375,31.125,12.5,-38.5,0.0699,0.3144,0.9467,-0.033,0.3051,0.9517,-0.0645,-0.9136,9.6092,-0.072,-0.877,9.088
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1776958432579626983,4.6007,4.6742,-31.8125,9.9688,-37.1562,31.2188,12.4688,-38.5312,0.0809,0.3172,0.9449,-0.0283,0.3079,0.951,-0.0609,-0.9136,9.6475,-0.0756,-0.8657,8.9146
