section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,1,1776958432784872983,1776958432969992983,185,659.95,508.019,-9.242703616868248,6.593924762753618
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,2,1776958433025116983,1776958433240237983,215,772.21,465.743,-2.004138800621645,9.340341098953116
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,3,1776958433330359983,1776958433620602983,290,1038.246,259.81,15.872381545453454,22.21508940174795
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,4,1776958433720725983,1776958434041093983,320,1091.249,348.717,18.998858912821042,16.50384970575172
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,5,1776958434126091983,1776958434311336983,185,781.422,490.676,-1.4029784771303724,7.741157008430693
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,6,1776958434396334983,1776958434576591983,180,919.564,901.651,7.748100894842999,-18.5920364294932
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,7,1776958434606580983,1776958434831709983,225,853.833,938.295,3.408266300855784,-20.982706902972076
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,8,1776958434876823983,1776958435102068983,225,941.657,863.762,9.138531393341765,-16.15346999947295
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,9,1776958435157067983,1776958435357312983,200,826.974,928.971,1.599577239644321,-20.39695744712675
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,10,1776958435397311983,1776958435662555983,265,878.222,882.409,4.976688727214494,-17.39820227424866
2a3719f5-68f4-46bc-abac-4326a38eb305,f78244d8-5fd0-4662-9c34-b0ceed68e663,11,1776958435822677983,1776958436037922983,215,1039.805,494.425,15.280518364630879,7.397139753032791
